                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74242,                 1.3477,                0.94292,                0.98707,                      1,                  0.995,                0.86303,                0.48702,                 1.1534,                0.85386,             0.00054478,             0.00054478,             0.00054478
                     37,                 0.8563,                 1.2671,                0.96367,                 0.9853,                      1,                  0.995,                0.88155,                0.46772,                  1.109,                0.85329,             0.00051177,             0.00051177,             0.00051177
                     38,                0.75051,                 1.2677,                0.89221,                0.98462,                      1,                  0.995,                0.89094,                0.45846,                 1.0294,                0.85682,             0.00047876,             0.00047876,             0.00047876
                     39,                0.68843,                 1.2692,                 0.9136,                0.97703,                      1,                  0.995,                0.87248,                0.44022,                   1.07,                0.85327,             0.00044576,             0.00044576,             0.00044576
                     40,                0.76343,                 1.2374,                0.91103,                0.96992,                      1,                  0.995,                0.88185,                0.40082,                 1.0924,                0.84257,             0.00041275,             0.00041275,             0.00041275
                     41,                0.65702,                 1.3044,                0.92026,                0.96291,                0.99873,                  0.995,                0.90155,                0.40349,                0.99385,                0.84281,             0.00037974,             0.00037974,             0.00037974
                     42,                0.63936,                 1.2483,                 0.9003,                 0.9642,                      1,                  0.995,                0.89963,                0.41567,                0.95405,                0.83693,             0.00034674,             0.00034674,             0.00034674
                     43,                0.64237,                 1.2701,                0.87913,                0.97005,                      1,                  0.995,                0.89963,                 0.4301,                0.96179,                0.83769,             0.00031373,             0.00031373,             0.00031373
                     44,                0.57941,                 1.1566,                0.89615,                0.97691,                      1,                  0.995,                 0.9414,                0.45878,                0.95365,                0.84326,             0.00028072,             0.00028072,             0.00028072
                     45,                0.62247,                 1.2098,                0.88644,                 0.9817,                      1,                  0.995,                0.90222,                0.43521,                0.96194,                0.83812,             0.00024772,             0.00024772,             0.00024772
                     46,                0.60818,                 1.2013,                 0.8573,                 0.9889,                      1,                  0.995,                0.89776,                0.38069,                0.95059,                0.83151,             0.00021471,             0.00021471,             0.00021471
                     47,                0.55504,                 1.1902,                0.87212,                 0.9898,                      1,                  0.995,                0.92709,                0.35229,                0.92473,                0.82766,              0.0001817,              0.0001817,              0.0001817
                     48,                0.54536,                 1.1609,                0.83567,                   0.99,                      1,                  0.995,                0.93022,                0.36754,                0.91815,                 0.8254,              0.0001487,              0.0001487,              0.0001487
                     49,                0.53891,                 1.1296,                0.84148,                0.98987,                      1,                  0.995,                0.91172,                0.37659,                 0.9197,                0.82518,             0.00011569,             0.00011569,             0.00011569
                     50,                0.54389,                  1.111,                 0.8559,                0.98916,                      1,                  0.995,                0.92422,                0.37283,                0.92134,                0.82441,             8.2683e-05,             8.2683e-05,             8.2683e-05
